Restaurant Name,Zip Code,Inspection Date,Score,Address,Facility ID,Process Description
Tortilleria Rio Grande,78753,08/19/2015,81,"900 E BRAKER LN Unit 160
AUSTIN, TX 78753
(30.376103, -97.673724)",10239712,Routine Inspection
Two Steps Ahead Learning Center,78723,04/02/2015,100,"3028 ROGGE LN
AUSTIN, TX 78723
(30.303188, -97.678524)",10871599,Routine Inspection
WL - Eanes Elementary,78746,02/09/2015,100,"4101 BEE CAVES RD
WEST LAKE HILLS, TX 78746
(30.283612, -97.811109)",10002740,Routine Inspection
Vinaigrette TX LLC,78704,03/29/2017,83,"2201 COLLEGE AVE
AUSTIN, TX 78704
(30.241425, -97.752185)",11463881,Routine Inspection
Torchy's Tacos,78731,12/10/2015,100,"4211 SPICEWOOD SPRINGS RD
AUSTIN, TX 78731
(30.37101, -97.756003)",10382525,Routine Inspection
Villa Taco Shack,78745,11/17/2016,85,"4406 S CONGRESS AVE
AUSTIN, TX 78745
(30.217025, -97.767664)",11442473,Routine Inspection
Tokyo Gardens Catering,78751,02/14/2017,97,"1000 E 41ST ST
AUSTIN, TX 78751
(30.298553, -97.720058)",2802167,Routine Inspection
Tortilleria Krystal,78753,05/31/2017,72,"1033 E HOWARD LN Bunit C
AUSTIN, TX 78753
(30.409133, -97.647939)",11170853,Routine Inspection
Vespaio,78704,12/15/2015,72,"1610 S CONGRESS AVE
AUSTIN, TX 78704
(30.247062, -97.750617)",2801096,Routine Inspection
Troy,78759,03/16/2017,85,"8105 MESA DR Bldg A
AUSTIN, TX 78759
(30.371779, -97.75711)",11176042,Routine Inspection
WL - Eanes Elementary,78746,09/03/2015,97,"4101 BEE CAVES RD
WEST LAKE HILLS, TX 78746
(30.283612, -97.811109)",10002740,Routine Inspection
Tropical Market,78753,10/29/2015,85,"10805 N LAMAR BLVD
AUSTIN, TX 78753
(30.37695, -97.689195)",10935507,Routine Inspection
Viva Meat Market,78758,05/08/2017,81,"8610 N LAMAR BLVD Unit 100
AUSTIN, TX 78758
(30.354921, -97.703466)",10769105,Routine Inspection
W Hotel Austin - Concessionaire of Alcohol,78701,07/09/2015,100,"200 LAVACA ST
AUSTIN, TX 78701
(30.265623, -97.746363)",10509270,Routine Inspection
Turf & Surf Po'boy,78701,02/23/2017,87,"405 LAVACA ST
AUSTIN, TX 78701
(30.26729, -97.74574)",10903317,Routine Inspection
Town Lake Residence Condominium,78701,05/16/2017,100,"98 SAN JACINTO BLVD
AUSTIN, TX 78701
(30.262711, -97.742141)",10475293,Routine Inspection
WL - Maryes Gourmet Pizza,78746,12/06/2016,95,"3663 BEE CAVES RD Bldg 4G
WEST LAKE HILLS, TX 78746
(30.279035, -97.806503)",11016089,Routine Inspection
Trudy's South Star,78745,12/13/2016,82,"901 LITTLE TEXAS LN
AUSTIN, TX 78745
(30.198648, -97.768572)",10088126,Routine Inspection
Turf N Surf,78704,08/30/2017,94,"3121 S LAMAR BLVD
AUSTIN, TX 78704
(30.241593, -97.785134)",11634032,Routine Inspection
VFW Post 8925,78719,07/12/2017,90,"8706 FM 812 RD
AUSTIN, TX 78719
(30.163006, -97.690447)",2800651,Routine Inspection
Tutty Frutty,78745,11/09/2015,87,"500 W WILLIAM CANNON DR Unit 506A
AUSTIN, TX 78745
(30.196231, -97.785737)",11315789,Routine Inspection
WL - Jason's Deli,78746,01/25/2017,97,"3300 BEE CAVES RD Unit 150
WEST LAKE HILLS, TX 78746
(30.274794, -97.800964)",2803239,Routine Inspection
TopGolf USA Austin,78758,07/25/2016,89,"2700 ESPERANZA XING
AUSTIN, TX 78758
(30.397697, -97.717839)",10910024,Routine Inspection
183 Grill Austin Gyros,78729,01/28/2016,95,"13729 N US 183 HWY NB Unit 890
AUSTIN, TX 78729
",11368998,Routine Inspection
183 Grill Austin Gyros,78729,04/10/2017,95,"13729 N US 183 HWY NB Unit 890
AUSTIN, TX 78729
",11368998,Routine Inspection
183 Grill Austin Gyros,78729,08/08/2016,95,"13729 N US 183 HWY NB Unit 890
AUSTIN, TX 78729
",11368998,Routine Inspection
WL - Austin's Pizza,78746,04/30/2015,97,"3638 BEE CAVES RD
WEST LAKE HILLS, TX 78746
(30.278805, -97.80628)",10117149,Routine Inspection
VFW Post #856,78704,08/06/2015,100,"406 E ALPINE RD
AUSTIN, TX 78704
(30.224747, -97.757614)",2800629,Routine Inspection
Top Notch,78757,07/31/2017,88,"7525 BURNET RD
AUSTIN, TX 78757
(30.351364, -97.733772)",10427418,Routine Inspection
